# x_m,y_m,w_tr_right_m,w_tr_left_m
5.9892,-1.5568,0.6853,0.6853
6.0000,-1.5459,0.6949,0.6949
6.0108,-1.5351,0.7048,0.7048
6.0108,-1.5243,0.7074,0.7074
6.0216,-1.5135,0.7083,0.7083
6.0324,-1.5027,0.7048,0.7048
6.0324,-1.4919,0.7050,0.7050
6.0432,-1.4811,0.7067,0.7067
6.0432,-1.4703,0.7016,0.7016
6.0541,-1.4595,0.7048,0.7048
6.0541,-1.4486,0.6990,0.6990
6.0649,-1.4378,0.7027,0.7027
6.0649,-1.4270,0.6973,0.6973
6.0757,-1.4162,0.7015,0.7015
6.0757,-1.4054,0.6964,0.6964
6.0757,-1.3946,0.6914,0.6914
6.0865,-1.3838,0.6963,0.6963
6.0865,-1.3730,0.6914,0.6914
6.0865,-1.3622,0.6866,0.6866
6.0973,-1.3514,0.6916,0.6916
6.0973,-1.3405,0.6871,0.6871
6.1081,-1.3297,0.6927,0.6927
6.1081,-1.3189,0.6886,0.6886
6.1081,-1.3081,0.6846,0.6846
6.1081,-1.2973,0.6807,0.6807
6.1189,-1.2865,0.6872,0.6872
6.1189,-1.2757,0.6837,0.6837
6.1189,-1.2649,0.6804,0.6804
6.1189,-1.2541,0.6772,0.6772
6.1297,-1.2432,0.6846,0.6846
6.1297,-1.2324,0.6818,0.6818
6.1297,-1.2216,0.6791,0.6791
6.1405,-1.2108,0.6871,0.6871
6.1514,-1.2000,0.6950,0.6950
6.1514,-1.1892,0.6922,0.6922
6.1514,-1.1784,0.6896,0.6896
6.1514,-1.1676,0.6871,0.6871
6.1622,-1.1568,0.6954,0.6954
6.1622,-1.1459,0.6933,0.6933
6.1622,-1.1351,0.6914,0.6914
6.1622,-1.1243,0.6896,0.6896
6.1730,-1.1135,0.6977,0.6977
6.1730,-1.1027,0.6954,0.6954
6.1730,-1.0919,0.6933,0.6933
6.1838,-1.0811,0.7020,0.7020
6.1838,-1.0703,0.7003,0.7003
6.1838,-1.0595,0.6987,0.6987
6.1838,-1.0486,0.6973,0.6973
6.1946,-1.0378,0.7068,0.7068
6.1946,-1.0270,0.7057,0.7057
6.1838,-1.0162,0.6940,0.6940
6.1838,-1.0054,0.6932,0.6932
6.1838,-0.9946,0.6927,0.6927
6.1838,-0.9838,0.6922,0.6922
6.1838,-0.9730,0.6920,0.6920
6.1838,-0.9622,0.6919,0.6919
6.1730,-0.9514,0.6811,0.6811
6.1730,-0.9405,0.6811,0.6811
6.1730,-0.9297,0.6807,0.6807
6.1730,-0.9189,0.6789,0.6789
6.1730,-0.9081,0.6773,0.6773
